"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
6,14,500,"B072XNV11R",false,1.35,"USD",0,0,0,1152,4.6,"https://www.amazon.com/dp/B072XNV11R","5299.20",false,false,false,false,"So Delicious Dairy Free Coconut Milk Yogurt Alternative, Key Lime, Vegan, Non-GMO Project Verified, 5.3 oz.","https://m.media-amazon.com/images/I/81TMpav5lPL._AC_UL320_.jpg"
6,15,501,"B06XSC89WZ",true,1.35,"USD",1.89,0.54,28.57,449,4.7,"https://www.amazon.com/dp/B06XSC89WZ","2110.30",false,false,false,false,"siggi’s Probiotic Drinkable Whole Milk Yogurt, Vanilla, 8 oz. – Single Serving, Only 5 Ingredients","https://m.media-amazon.com/images/I/71wERYhnlPL._AC_UL320_.jpg"
6,20,506,"B019HS2P26",false,1.35,"USD",0,0,0,2156,4.7,"https://www.amazon.com/dp/B019HS2P26","10133.20",false,false,false,false,"So Delicious Dairy Free Coconut Milk Yogurt Alternative, Raspberry, Vegan, Non-GMO Project Verified, 5.3 oz.","https://m.media-amazon.com/images/I/81D6+DlAuyL._AC_UL320_.jpg"
6,21,507,"B018XW013M",false,1.69,"USD",0,0,0,1207,4.7,"https://www.amazon.com/dp/B018XW013M","5672.90",false,false,false,false,"Silk Soy Milk Dairy-Free Yogurt Alternative, Vanilla, Gluten-Free, Vegan, Non-GMO Project Verified, 5.3 oz.","https://m.media-amazon.com/images/I/81pTX+7SkCL._AC_UL320_.jpg"
6,22,508,"B00O63409Y",false,14.49,"USD",0,0,0,12,4,"https://www.amazon.com/dp/B00O63409Y","48.00",false,false,false,false,"Greek Traditional Yogurt Kit (basic) - w/ cheesecloth and 1 oz. calcium chloride","https://m.media-amazon.com/images/I/81619dCnw7L._AC_UL320_.jpg"
6,23,509,"B00CHU49U8",false,64.9,"USD",0,0,0,2,5,"https://www.amazon.com/dp/B00CHU49U8","10.00",false,false,false,false,"Upstate Niagara Coop Strawberry Rich and Creamy Yogurt, 4 Ounce -- 48 per case.","https://m.media-amazon.com/images/I/616WOguVMHL._AC_UL320_.jpg"
6,24,510,"B081DKQHXB",false,5.79,"USD",0,0,0,722,4.4,"https://www.amazon.com/dp/B081DKQHXB","3176.80",false,false,false,false,"Kite Hill Greek Style Vanilla Unsweetened Almond Milk Yogurt, 16 Ounces, Dairy Free","https://m.media-amazon.com/images/I/71b83sIJlUS._AC_UL320_.jpg"
6,25,511,"B078B26PZC",false,1.35,"USD",0,0,0,1258,4.7,"https://www.amazon.com/dp/B078B26PZC","5912.60",false,false,false,false,"So Delicious Yogurt Coconut Milk Strawberry, 5.3 oz","https://m.media-amazon.com/images/I/81kDplcKmoL._AC_UL320_.jpg"
6,26,512,"B00XJM0NEO",false,19.15,"USD",0,0,0,332,4.4,"https://www.amazon.com/dp/B00XJM0NEO","1460.80",false,false,false,true,"Yogurt Starter Cultures - Pack of 12 Freeze-dried Culture Sachets for Balkan Style Plain Yogurt (12)","https://m.media-amazon.com/images/I/81gl7jEVDfL._AC_UL320_.jpg"
6,28,514,"B01N9WRQSU",false,10.35,"USD",0,0,0,1,5,"https://www.amazon.com/dp/B01N9WRQSU","5.00",false,false,false,false,"Acidophilus Probiotic Yogurt Starter Culture -Pack of 3 Sachets for Home Made Vitalakt Dairy Product","https://m.media-amazon.com/images/I/81MDFH-uXvL._AC_UL320_.jpg"
